time,open,high,low,close,Volume,Volume MA
1971-01-03T17:00:00-05:00,357.73,357.73,357.73,357.73,0,NaN
1971-01-04T17:00:00-05:00,357.81,357.81,357.81,357.81,0,NaN
1971-01-05T17:00:00-05:00,357.86,357.86,357.86,357.86,0,NaN
1971-01-06T17:00:00-05:00,357.87,357.87,357.87,357.87,0,NaN
1971-01-07T17:00:00-05:00,357.82,357.82,357.82,357.82,0,NaN
1971-01-10T17:00:00-05:00,357.95,357.95,357.95,357.95,0,NaN
1971-01-11T17:00:00-05:00,358.06,358.06,358.06,358.06,0,NaN
1971-01-12T17:00:00-05:00,358.44,358.44,358.44,358.44,0,NaN
1971-01-13T17:00:00-05:00,358.4,358.4,358.4,358.4,0,NaN
1971-01-14T17:00:00-05:00,358.4,358.4,358.4,358.4,0,NaN
1971-01-17T17:00:00-05:00,358.29,358.29,358.29,358.29,0,NaN
1971-01-18T17:00:00-05:00,358.35,358.35,358.35,358.35,0,NaN
1971-01-19T17:00:00-05:00,358.4,358.4,358.4,358.4,0,NaN
1971-01-20T17:00:00-05:00,358.27,358.27,358.27,358.27,0,NaN
1971-01-21T17:00:00-05:00,357.9,357.9,357.9,357.9,0,NaN
1971-01-24T17:00:00-05:00,357.73,357.73,357.73,357.73,0,NaN
1971-01-25T17:00:00-05:00,357.78,357.78,357.78,357.78,0,NaN
1971-01-26T17:00:00-05:00,357.79,357.79,357.79,357.79,0,NaN
1971-01-27T17:00:00-05:00,357.83,357.83,357.83,357.83,0,NaN
1971-01-28T17:00:00-05:00,357.72,357.72,357.72,357.72,0,0
1971-01-31T17:00:00-05:00,357.67,357.67,357.67,357.67,0,0
1971-02-01T17:00:00-05:00,357.55,357.55,357.55,357.55,0,0
1971-02-02T17:00:00-05:00,357.54,357.54,357.54,357.54,0,0
1971-02-03T17:00:00-05:00,357.51,357.51,357.51,357.51,0,0
1971-02-04T17:00:00-05:00,357.53,357.53,357.53,357.53,0,0
1971-02-07T17:00:00-05:00,357.49,357.49,357.49,357.49,0,0
1971-02-08T17:00:00-05:00,357.5,357.5,357.5,357.5,0,0
1971-02-09T17:00:00-05:00,357.5,357.5,357.5,357.5,0,0
1971-02-10T17:00:00-05:00,357.5,357.5,357.5,357.5,0,0
1971-02-15T17:00:00-05:00,357.53,357.53,357.53,357.53,0,0
1971-02-16T17:00:00-05:00,357.53,357.53,357.53,357.53,0,0
1971-02-17T17:00:00-05:00,357.53,357.53,357.53,357.53,0,0
