time,open,high,low,close,"BTCUSD, BITSTAMP: Open","BTCUSD, BITSTAMP: High","BTCUSD, BITSTAMP: Low","BTCUSD, BITSTAMP: Close",Basis,Upper,Lower,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,MF,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator
1313625600,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,NaN,NaN,NaN,0.48990826,NaN,0.48990826,NaN,0.48990826,NaN,0.48990826,NaN,0.48990826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1313712000,11.85,11.85,11.15,11.69,11.85,11.85,11.15,11.69,NaN,NaN,NaN,1.92657814,NaN,1.92657814,NaN,1.92657814,NaN,1.92657814,NaN,1.92657814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1313798400,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,NaN,NaN,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1313884800,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,NaN,NaN,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,0.08547009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1313971200,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,NaN,NaN,NaN,0.02863249,NaN,0.02863249,NaN,0.02863249,NaN,0.02863249,NaN,0.02863249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1314144000,11.5,11.5,10.5,10.5,11.5,11.5,10.5,10.5,NaN,NaN,NaN,2.35652174,NaN,2.35652174,NaN,2.35652174,NaN,2.35652174,NaN,2.35652174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1314230400,10,10,10,10,10,10,10,10,NaN,NaN,NaN,1.1,NaN,1.1,NaN,1.1,NaN,1.1,NaN,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1314662400,8,8,8,8,8,8,8,8,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,10.77375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1314835200,8,8.31,5.25,8.22,8,8.31,5.25,8.22,NaN,NaN,NaN,164.48,NaN,164.48,NaN,164.48,NaN,164.48,NaN,164.48,NaN,10.20625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1314921600,8.12,8.88,8,8.88,8.12,8.88,8,8.88,NaN,NaN,NaN,79.76,NaN,79.76,NaN,79.76,NaN,79.76,NaN,79.76,NaN,9.911527777777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1315094400,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,NaN,NaN,NaN,0.20022497,NaN,0.20022497,NaN,0.20022497,NaN,0.20022497,NaN,0.20022497,NaN,9.684521604938272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1315267200,8,8,8,8,8,8,8,8,NaN,NaN,NaN,21,NaN,21,NaN,21,NaN,21,NaN,21,NaN,9.310183470507544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1315353600,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,NaN,NaN,NaN,3,NaN,3,NaN,3,NaN,3,NaN,3,NaN,9.130142699283645,9.89846153846154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1315440000,7.98,7.98,7.4,7.4,7.98,7.98,7.4,7.4,NaN,NaN,NaN,6.86,NaN,6.86,NaN,6.86,NaN,6.86,NaN,6.86,NaN,8.74566654388728,9.541538461538462,NaN,NaN,NaN,NaN,NaN,33.597241103114456,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1315872000,5.8,6,5.65,5.97,5.8,6,5.65,5.97,NaN,NaN,NaN,58.37138238,NaN,58.37138238,NaN,58.37138238,NaN,58.37138238,NaN,58.37138238,NaN,8.128851756356774,9.031318681318682,NaN,NaN,NaN,NaN,NaN,28.988081869430587,NaN,NaN,23.523093447905467,NaN,NaN,NaN,NaN
