time,open,high,low,close,Volume,Volume MA
1325595600,127.62,128.38,127.5,127.95,11585525,NaN
1325610000,127.955,128.06,127.44,127.55,14620245,NaN
1325624400,127.55,127.73,127.49,127.72,347268,NaN
1325682000,127.31,127.44,126.72,127.29,8712927,NaN
1325696400,127.29,127.81,127.27,127.68,9585894,NaN
1325710800,127.67,127.77,127.64,127.75,258155,NaN
1325768400,126.89,127.65,126.43,127.36,12881329,NaN
1325782800,127.36,128.23,127.32,128.06,13424740,NaN
1325797200,128.05,128.14,127.71,127.73,427066,NaN
1325854800,127.99,128.61,127.29,128.04,11446505,NaN
1325869200,128.04,128.14,127.65,127.79,11846896,NaN
1325883600,127.8,127.98,127.8,127.9,304324,NaN
1326114000,128.02,128.17,127.41,127.7,8279724,NaN
1326128400,127.71,128.18,127.63,128.01,7836309,NaN
1326142800,128,128.08,127.92,127.97,240583,NaN
1326200400,129.32,129.65,129.16,129.33,9649328,NaN
1326214800,129.32,129.36,128.95,129.16,8876547,NaN
1326229200,129.16,129.17,128.89,128.92,475150,NaN
1326286800,128.76,129.13,128.51,128.86,8384933,NaN
1326301200,128.86,129.37,128.77,129.24,10685799,7493462.35
1326315600,129.25,129.32,129.21,129.25,371629,6932767.55
1326373200,129.97,129.97,128.54,129.025,9991796,6701345.1
1326387600,129.02,129.665,128.98,129.52,8325560,7100259.7
1326402000,129.53,129.66,129.5,129.58,247649,6676995.8
1326459600,129.23,129.35,127.72,128.52,15254482,6960425.2
1326474000,128.52,128.94,128.04,128.94,11405957,7517815.3
1326488400,128.94,129.45,128.92,129.07,527946,6900146.15
1326805200,130.36,130.54,129.71,130,8964482,6677133.25
1326819600,130,130.12,129.06,129.33,10414874,7176523.65
1326834000,129.32,129.53,129.28,129.47,482577,6628327.25
1326891600,129.68,130.27,129.08,129.98,9963040,6534134.45
1326906000,129.98,130.84,129.98,130.77,10856466,7061741.55
1326920400,130.77,130.79,130.64,130.73,436068,6669558.75
1326978000,131.12,131.54,130.805,131.52,8185071,6686996.85
1326992400,131.525,131.57,131.19,131.48,9056152,7127775.3
1327006800,131.47,131.52,131.03,131.43,534826,6672050.2
1327064400,131.12,131.4,130.93,131.08,7855626,6621004.15
1327078800,131.08,131.55,131.02,131.53,8601099,7027301.6
1327093200,131.53,131.61,131.41,131.44,722471,6644178.5
1327323600,131.69,132.25,131.26,131.32,9390640,6579420.55
1327338000,131.32,131.82,130.99,131.6,9843245,7053001.35
1327352400,131.6,131.63,131.45,131.45,375205,6572171.8
1327410000,130.88,131.41,130.61,131.22,7870863,6549436.95
1327424400,131.22,131.5,131.1,131.46,6805536,6877331.3
1327438800,131.465,132.08,131.43,131.93,269949,6128104.65
1327496400,131.18,131.42,130.76,131.305,7290678,5922340.7
1327510800,131.305,132.87,131.04,132.565,21547825,6973334.65
1327525200,132.58,132.63,132.43,132.5,572290,6553725.05
1327582800,132.88,133.4,132.24,132.31,12076382,6636800.45
1327597200,132.32,132.44,131.365,131.87,14553793,7340361.25
1327611600,131.88,132.09,131.84,132.04,518935,6868156
1327669200,132.14,132.16,131.14,131.46,10170100,6833837.7
1327683600,131.46,132.05,131.16,131.71,11632656,7393667.1
1327698000,131.71,132.14,131.65,131.8,695463,7019186.7
1327928400,130.79,130.87,130.06,130.72,11316622,7132210.2
1327942800,130.72,131.44,130.61,131.35,11837622,7697350
1327957200,131.35,131.42,131.27,131.41,852494,7347193.4
1328014800,131.92,132.18,130.68,130.88,11394164,7486846.65
1328029200,130.87,131.43,130.82,131.26,11223050,8011875.6
1328043600,131.26,131.28,131.06,131.14,1254966,7605091.9
1328101200,132.16,132.84,131.98,132.7,10393022,7632580.75
1328115600,132.695,133.14,132.33,132.45,16350550,8431348
1328130000,132.45,132.55,132.37,132.55,1174001,8096504.9
1328187600,132.27,133.02,132.22,132.59,8787572,8195606.7
1328202000,132.59,132.83,132.22,132.67,8136255,8588922
1328216400,132.69,132.85,132.68,132.75,628867,8255831.45
1328274000,132.79,134.42,132.71,134.27,10356553,7696267.85
1328288400,134.26,134.62,134.22,134.545,11544475,8244877.1
1328302800,134.57,134.6,134.32,134.5,917610,7686938.5
1328533200,134,134.34,133.72,134.31,7661626,7342330.15
1328547600,134.31,134.5,134.11,134.45,8194825,7726124.65
1328562000,134.44,134.49,134.33,134.47,417440,7238491.65
1328619600,133.87,134.815,133.64,134.67,9948246,7154271.15
1328634000,134.66,135.02,134.55,134.77,8265828,7532789.4
1328648400,134.78,134.94,134.77,134.89,333970,6983656.8
1328706000,135.08,135.22,134.31,134.56,11006275,6942089.45
1328720400,134.57,135.16,134.53,135.13,10925477,7445738.6
1328734800,135.16,135.2,135.04,135.07,361533,6894107.05
1328792400,135.01,135.69,134.56,135.26,12968472,6981378.15
1328806800,135.27,135.58,135.22,135.34,8823818,7359820.75
1328821200,135.35,135.42,135.21,135.21,366819,6858510.6
1328878800,134.14,134.42,133.84,134.29,11460299,6613998.05
1328893200,134.28,134.47,133.87,134.36,12618581,7186227.05
1328907600,134.36,134.76,134.36,134.74,744106,6784053.75
1329138000,135.5,135.54,134.74,135.14,8994305,6826956.25
1329152400,135.135,135.51,134.96,135.34,8839219,7237473.85
1329166800,135.35,135.44,135.3,135.36,486372,6743964.8
1329224400,135.31,135.43,134.58,134.92,10883431,6710912.6
1329238800,134.92,135.26,134.25,135.24,15535787,7441821.45
1329253200,135.23,135.24,135.13,135.21,364211,7076950.7
1329310800,136.01,136.02,135.23,135.77,10878570,7211137.95
1329325200,135.78,135.79,134.29,134.56,22465825,8313557.2
1329339600,134.55,134.83,134.38,134.38,458592,7839074.5
